B01/Test_1/SoC15% | $DEVIJACIJA | Impedansa odstupila od proseka:30.83725% | [30.8372528900617] | [25]
B01/Test_1/SoC15% | $DEVIJACIJA | Impedansa odstupila od proseka:32.45504% | [32.4550364753116] | [25]
B01/Test_1/SoC15% | $DEVIJACIJA | Impedansa odstupila od proseka:33.92166% | [33.9216566484467] | [25]
B01/Test_1/SoC15% | $DEVIJACIJA | Impedansa odstupila od proseka:34.17874% | [34.1787386782702] | [25]
B01/Test_1/SoC20% | $DEVIJACIJA | Impedansa odstupila od proseka:26.74560% | [26.7455999781087] | [25]
B01/Test_1/SoC20% | $DEVIJACIJA | Impedansa odstupila od proseka:27.08413% | [27.0841264593245] | [25]
B01/Test_1/SoC20% | $DEVIJACIJA | Impedansa odstupila od proseka:27.16097% | [27.160969219459] | [25]
B01/Test_1/SoC20% | $DEVIJACIJA | Impedansa odstupila od proseka:26.76203% | [26.7620345613687] | [25]
B01/Test_1/SoC20% | $DEVIJACIJA | Impedansa odstupila od proseka:29.15973% | [29.1597278914251] | [25]
B01/Test_1/SoC20% | $DEVIJACIJA | Impedansa odstupila od proseka:30.25108% | [30.251076924035] | [25]
B01/Test_1/SoC20% | $DEVIJACIJA | Impedansa odstupila od proseka:31.92049% | [31.9204860699861] | [25]
B01/Test_1/SoC20% | $DEVIJACIJA | Impedansa odstupila od proseka:33.46007% | [33.4600686022171] | [25]
B01/Test_1/SoC20% | $DEVIJACIJA | Impedansa odstupila od proseka:33.74194% | [33.7419388456099] | [25]
B01/Test_1/SoC25% | [VOLTAGE SPIKE] | 3.24969 -> 1.24984]| [ISPOD OCEKIVANOG]
B01/Test_1/SoC25% | $DEVIJACIJA | Napon odstupio od proseka: 57.81857% | [57.8185696302071] | [25]
B01/Test_1/SoC25% | [VOLTAGE SPIKE] | 1.24984 -> 3.24987]| [IZNAD OCEKIVANOG]
B01/Test_1/SoC25% | $DEVIJACIJA | Impedansa odstupila od proseka:26.11656% | [26.1165603704979] | [25]
B01/Test_1/SoC25% | $DEVIJACIJA | Impedansa odstupila od proseka:26.49066% | [26.4906645093297] | [25]
B01/Test_1/SoC25% | $DEVIJACIJA | Impedansa odstupila od proseka:26.58063% | [26.5806331234067] | [25]
B01/Test_1/SoC25% | $DEVIJACIJA | Impedansa odstupila od proseka:26.19234% | [26.1923431881931] | [25]
B01/Test_1/SoC25% | $DEVIJACIJA | Impedansa odstupila od proseka:28.60833% | [28.6083334293258] | [25]
B01/Test_1/SoC25% | $DEVIJACIJA | Impedansa odstupila od proseka:29.76709% | [29.7670942239354] | [25]
B01/Test_1/SoC25% | $DEVIJACIJA | Impedansa odstupila od proseka:31.48353% | [31.4835329825069] | [25]
B01/Test_1/SoC25% | $DEVIJACIJA | Impedansa odstupila od proseka:33.06352% | [33.0635200814701] | [25]
B01/Test_1/SoC25% | $DEVIJACIJA | Impedansa odstupila od proseka:33.35368% | [33.353681892167] | [25]
B01/Test_1/SoC30% | $DEVIJACIJA | Impedansa odstupila od proseka:25.50335% | [25.5033543695394] | [25]
B01/Test_1/SoC30% | $DEVIJACIJA | Impedansa odstupila od proseka:25.86117% | [25.861166109813] | [25]
B01/Test_1/SoC30% | $DEVIJACIJA | Impedansa odstupila od proseka:26.00470% | [26.0046952963711] | [25]
B01/Test_1/SoC30% | $DEVIJACIJA | Impedansa odstupila od proseka:25.64614% | [25.6461410190593] | [25]
B01/Test_1/SoC30% | $DEVIJACIJA | Impedansa odstupila od proseka:28.13846% | [28.138463955489] | [25]
B01/Test_1/SoC30% | $DEVIJACIJA | Impedansa odstupila od proseka:29.30771% | [29.3077063215278] | [25]
B01/Test_1/SoC30% | $DEVIJACIJA | Impedansa odstupila od proseka:31.09291% | [31.0929074470433] | [25]
B01/Test_1/SoC30% | $DEVIJACIJA | Impedansa odstupila od proseka:32.69962% | [32.6996192303367] | [25]
B01/Test_1/SoC30% | $DEVIJACIJA | Impedansa odstupila od proseka:33.04134% | [33.0413435162392] | [25]
B01/Test_1/SoC35% | $DEVIJACIJA | Impedansa odstupila od proseka:25.30383% | [25.3038271251331] | [25]
B01/Test_1/SoC35% | $DEVIJACIJA | Impedansa odstupila od proseka:25.46464% | [25.4646425518495] | [25]
B01/Test_1/SoC35% | $DEVIJACIJA | Impedansa odstupila od proseka:25.09867% | [25.0986713412248] | [25]
B01/Test_1/SoC35% | $DEVIJACIJA | Impedansa odstupila od proseka:27.58165% | [27.5816530414482] | [25]
B01/Test_1/SoC35% | $DEVIJACIJA | Impedansa odstupila od proseka:28.79308% | [28.7930847298173] | [25]
B01/Test_1/SoC35% | $DEVIJACIJA | Impedansa odstupila od proseka:30.63256% | [30.6325552364026] | [25]
B01/Test_1/SoC35% | $DEVIJACIJA | Impedansa odstupila od proseka:32.29265% | [32.2926472004331] | [25]
B01/Test_1/SoC35% | $DEVIJACIJA | Impedansa odstupila od proseka:32.64723% | [32.6472319642657] | [25]
B01/Test_1/SoC40% | $DEVIJACIJA | Impedansa odstupila od proseka:27.01894% | [27.0189404445458] | [25]
B01/Test_1/SoC40% | $DEVIJACIJA | Impedansa odstupila od proseka:28.25470% | [28.2547023738986] | [25]
B01/Test_1/SoC100% | [VOLTAGE SPIKE] | 0.387946656688777 -> 1.6830376361487]| [IZNAD OCEKIVANE VREDNOSTI]
B01/Test_1/SoC100% | $Z_Threshold | Impedansa probila prag 1.6830376361487 | [1.6830376361487] | [0.5]
B01/Test_1/SoC100% | $V_Threshold | Napon je probio prag 3.44568 | [3.44568] | [3.31]
B01/Test_1/SoC100% | [VOLTAGE SPIKE] | 1.6830376361487 -> 0.228645703051686]| [ISPOD OCEKIVANE VREDNOSTI]
B01/Test_1/SoC100% | $V_Threshold | Napon je probio prag 3.44453 | [3.44453] | [3.31]
B01/Test_1/SoC100% | $DEVIJACIJA | Impedansa odstupila od proseka:76.07912% | [76.0791237373734] | [25]
B01/Test_1/SoC100% | $V_Threshold | Napon je probio prag 3.44675 | [3.44675] | [3.31]
B01/Test_1/SoC100% | $DEVIJACIJA | Impedansa odstupila od proseka:74.31310% | [74.3130986492715] | [25]
B01/Test_1/SoC100% | [VOLTAGE SPIKE] | 3.44675 -> 1.44703]| [ISPOD OCEKIVANOG]
B01/Test_1/SoC100% | $DEVIJACIJA | Impedansa odstupila od proseka:73.69936% | [73.6993602045646] | [25]
